embedder,prompt,best_val_qwk,best_val_mse,test_qwk,test_mse
roberta,1,0.702785313892721,1.1264047814483389,0.7516574437816105,0.945105034025053
roberta,2,0.721936148300721,0.31910707506241304,0.5616559663493468,0.3966468594371703
roberta,3,0.6952015506942522,0.2958961866695412,0.6915213633331972,0.31954549390122633
roberta,4,0.8151142945077082,0.22826757214871474,0.8082467760788375,0.25862407289531086
roberta,5,0.802296039167727,0.29242758053053625,0.8107198430417428,0.2887539233411811
roberta,6,0.8443647671024241,0.24131955376466768,0.8066595059076263,0.23529599409742943
roberta,7,0.7979199605029684,6.259516584306033,0.8161273160743565,6.120833415311089
roberta,8,0.7064893273663573,15.840144258093387,0.6577432354634427,15.48947868109512
bge,1,0.6789806581721515,1.094661876070164,0.7068733976315469,0.9902168354209772
bge,2,0.6864035087719298,0.30575006007951533,0.5549666703092558,0.40779227022537834
bge,3,0.6943490350016357,0.3005328696371892,0.6757710915139981,0.30233317933049125
bge,4,0.8406300981519617,0.22959883654470492,0.7894286803044808,0.2682200082900545
bge,5,0.7908123636094638,0.317702540010172,0.8210479353591434,0.2638909563278541
bge,6,0.8346245530393326,0.24729623244395793,0.8178724928366762,0.23977767433506542
bge,7,0.7960678453600436,7.410895881704975,0.8171700533127458,7.479678919739531
bge,8,0.6524279091130919,19.028188477726133,0.6494613230594554,16.813342686639114
e5-base,1,0.7187429175795119,1.1444329562224846,0.7243857955155026,1.051668304796215
e5-base,2,0.6903523974581167,0.3280955881966841,0.4956984378537469,0.40478541239842863
e5-base,3,0.6627417256510331,0.29255161375198685,0.6480004787480738,0.3061795538759974
e5-base,4,0.8317819706498952,0.23628741062236525,0.790568814752821,0.2633618563454089
e5-base,5,0.79929144955457,0.3009085127787309,0.7869822751739826,0.2854633330288013
e5-base,6,0.8415620805246056,0.2848906375231073,0.8191560616208975,0.2761263641456975
e5-base,7,0.7758196053627731,7.305539749046005,0.8180640143085476,6.716422278044051
e5-base,8,0.5193008165445827,22.53249988979375,0.42095302850019833,24.208826191059092
deberta,1,0.7222512413961821,0.9433049503015032,0.6922420983036672,1.00073906204109
deberta,2,0.703971119133574,0.2769898647970874,0.5422450933460985,0.3434174586014389
deberta,3,0.6674736063479255,0.30378386046607514,0.6289111681044532,0.2970281141350784
deberta,4,0.8272376608384717,0.2365579324058544,0.7879501541045043,0.24769944248834105
deberta,5,0.7740214587312156,0.35341087005140126,0.7501013783357569,0.37717706219306035
deberta,6,0.8183896267686123,0.23820136419565022,0.8184678016284234,0.22535456127966474
deberta,7,0.7435926472123684,8.53747283656304,0.7586680250900084,8.685394928604891
deberta,8,0.7447197396695835,14.135167411632272,0.6711368746070463,14.599413137867229
roberta+contrastive,1,0.799799257,0.814096065,0.784902081,0.764366658
roberta+contrastive,2,0.87699586,0.138812751,0.852207761,0.144652764
roberta+contrastive,3,0.913356004,0.101890819,0.934163977,0.086796134
roberta+contrastive,4,0.934115963,0.104377004,0.902087,0.139788252
roberta+contrastive,5,0.939645918,0.10223532,0.926842299,0.099157842
roberta+contrastive,6,0.880807858,0.198409737,0.87388724,0.186259548
roberta+contrastive,7,0.908535276,3.118553914,0.92341892,2.904961996
roberta+contrastive,8,0.882287045,8.130565706,0.820043934,8.328772317

